staID,Lat,Lon,Elevation
05ACU01,50.355,-113.54194,
05ACU02,50.248,-113.423,
05ACU03,50.244,-113.426,
05AD001,49.131437,-113.590567,
05AD002,49.478724,-113.303097,
05AD003,49.11366,-113.839512,
05AD004,49.126629,-113.812383,
05AD005,49.0995373,-113.697772,
05AD006,49.051845,-113.916783,
05AD007,49.707279,-112.863551,
05AD008,49.500929,-113.329011,
05AD010,49.2943969,-113.794234,
05AD012,49.143132,-113.851774,
05AD013,49.2180729,-113.633324,
05AD014,49.118711,-113.848247,
05AD015,49.112737,-113.840805,
05AD016,49.301505,-114.006521,
05AD017,49.0797554,-113.688799,
05AD018,49.2615209,-113.114416,
05AD019,49.79128,-113.124214,
05AD020,49.661111,-112.826389,
05AD021,49.3360621,-113.553939,
05AD022,49.1125,-113.613889,
05AD023,49.1075,-113.629722,
05AD024,49.114253,-113.618933,
05AD025,49.053966,-113.906827,
05AD026,49.320261,-113.684173,
05AD027,49.3270181,-113.633851,
05AD034,49.856152,-112.585127,
05AD035,49.56573,-112.956361,
05AD036,49.295706,-113.972292,
05AD037,49.830278,-112.761944,
05AD038,49.872222,-112.6,
05AD039,49.073816,-113.88845,
05AD040,49.788889,-112.855556,
05AD042,49.231846,-113.96063,
05AD901,49.402499,-113.70225,
05AD902,49.804167,-112.925,
05AD903,49.144291,-113.85233,
05AD904,49.136704,-113.853692,
05AD905,55.74156,-118.83608,
05AD906,0,0,
05AD907,0,0,
05AD908,0,0,
05AD909,0,0,
05AD910,0,0,
05AD911,0,0,
05AD912,0,0,
05AD913,49.1058,-113.630772,
05AD914,49.106867,-113.630147,
05AD915,49.139333,-113.541667,
05AD916,49.165027,-113.455556,
05AD917,0,0,
05AD918,0,0,
05AD919,0,0,
05AD920,0,0,
05AD921,0,0,
05AD922,49.245833,-113.611111,
05AD923,49.311111,-113.633333,
05AD924,49.306944,-113.622222,
05AD925,49.331944,-113.605556,
05AD926,49.12163,-113.659522,
05AD927,49.193056,-113.613889,
05AD928,0,0,
05AD929,0,0,
05AD930,49.328962,-113.663889,
05AD931,49.29235,-113.970278,
05AD933,49.230556,-113.625,
05AD935,49.277596,-113.644444,
05AD936,49.283333,-113.65,
05AD937,49.328962,-113.663889,
